Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    989
     1       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    989
     2       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    989
     3      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    989
     4      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    989
     5      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    989
     6       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    988
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    989
     8      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    988
     9      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    989
    10      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    988
    11      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    988
    12      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    988
    13       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    988
    14       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    988
    15       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    988
    16      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    988
    17       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    988
    18      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    988
    19      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    988
    20      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    988
    21       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    988
Running = 2
Waiting = 20
