#"Step","Temperature (K)"
20000,300.07364437067025
40000,299.8164342918721
60000,300.83389038672846
80000,296.3677623218847
100000,299.8961491273994
120000,298.95693635081295
140000,296.72073575720844
160000,303.72999391936236
180000,300.2619572087866
200000,296.7906169143612
220000,298.34523577546463
240000,297.1198513517995
260000,297.91084009552736
280000,297.6963409738565
300000,295.73715705799526
320000,298.922920676246
340000,291.0649256826956
360000,304.17935933871297
380000,295.1274297629589
400000,299.9015385539292
420000,297.5926126364616
440000,301.9041584045354
460000,298.7403719464299
480000,298.21024359399445
500000,303.7160921686834
520000,297.4672234973316
540000,294.04978807680214
560000,301.83646772080994
580000,295.1004807169443
600000,303.8124395185314
620000,300.12448313641795
640000,297.3068573894039
660000,298.54164081149605
680000,296.7213409193486
700000,300.0993382167207
720000,302.9259528782308
740000,297.31310824648284
760000,292.6953312987374
780000,295.2691438214099
800000,295.554227221667
820000,300.14190668532575
840000,300.356581562134
860000,299.4458101082462
880000,298.3215767239055
900000,298.48008591203967
920000,297.96819200501193
940000,299.64239533541064
960000,295.1453360068493
980000,295.73108265216746
1000000,299.667445452284
1020000,302.9809363609678
1040000,296.0685472388045
1060000,298.77049906250136
1080000,300.8881826976442
1100000,302.37267046534265
1120000,303.438272041704
1140000,296.7617588767362
1160000,291.0857890750976
1180000,297.63886990661695
1200000,301.49974355231734
1220000,296.0337370915017
1240000,300.32705183438065
1260000,296.9848042198041
1280000,296.37758853301125
1300000,302.4436768009837
1320000,301.96921153512704
1340000,296.8221290482269
1360000,294.5829804373393
1380000,297.8538267349819
1400000,298.59110883693404
1420000,301.29618039427163
1440000,296.4518274985711
1460000,302.73740879424344
1480000,299.40438328985806
1500000,300.34392886862264
1520000,298.7851740823416
1540000,298.17364865876425
1560000,296.97705769276564
1580000,299.570105679052
1600000,300.0887439552226
1620000,299.69179483213884
1640000,301.27481059998
1660000,299.6362596887997
1680000,298.5196136987909
1700000,298.602910923655
1720000,299.61572901648816
1740000,296.9405884732132
1760000,298.5308961422375
1780000,298.68121775090253
1800000,304.5863515252822
1820000,301.3077514262458
1840000,301.0294281088509
1860000,302.805010030557
1880000,301.18362042007954
1900000,297.04694569453375
1920000,296.7914696467373
1940000,299.7952632196004
1960000,299.9668294243292
1980000,295.36752870302666
2000000,302.0573465201397
2020000,295.76944714852607
2040000,297.49204516778354
2060000,295.52571882552195
2080000,296.57058764754447
2100000,300.84251782328886
2120000,293.2333324579659
2140000,303.34729071927796
2160000,297.11451255850295
2180000,298.3350518051461
2200000,296.80375674764866
2220000,299.71221587940005
2240000,302.29763607242813
2260000,292.81804072047686
2280000,299.6442478890938
2300000,302.4489609392077
2320000,300.26876309150623
2340000,299.5837147932202
2360000,301.1561771695549
2380000,299.92942822862034
2400000,293.5368203176144
2420000,301.4913975565603
2440000,300.8605513543073
2460000,301.4069954031311
2480000,297.55653541443513
2500000,298.8105784716427
2520000,302.84584651006907
2540000,295.23028955556066
2560000,298.6378850111048
2580000,295.6138683266277
2600000,299.01548685371273
2620000,301.28471652175165
2640000,299.8017721185292
2660000,297.44580557216517
2680000,304.51925518017924
2700000,299.9903230054648
2720000,296.67372109790864
2740000,295.80999744021216
2760000,299.1531450611099
2780000,299.0198411534349
2800000,303.57634030130527
2820000,300.21491981266865
2840000,295.38646225817956
2860000,297.9682726605586
2880000,299.2928830947636
2900000,296.3455209745446
2920000,304.8301120267014
2940000,296.71847947335925
2960000,294.64149968315513
2980000,300.76841059008314
3000000,298.78242521689134
3020000,300.0403507318344
3040000,297.0099255230357
