Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    213
     1       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     R    213
     2       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    213
     3       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    213
     4      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    214
     5      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    213
     6       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    213
     7       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    213
     8      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    213
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    213
    10      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    213
    11      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    213
    12      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    213
    13       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    213
    14       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    213
    15       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    213
    16      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    213
    17      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    213
    18      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    213
    19      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    213
    20      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    213
    21      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    213
Running = 4
Waiting = 18
