Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    232
     1       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    232
     2       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    232
     3      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    232
     4       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    232
     5       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    232
     6       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    232
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    232
     8       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    232
     9      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    232
    10      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    232
    11      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    232
    12       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    231
    13      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    231
    14      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     R    231
    15      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     R    231
    16      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    232
    17      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    231
    18      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    231
    19      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    231
    20       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    231
    21      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    231
Running = 4
Waiting = 18
