Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    417
     1      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    417
     2      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    417
     3      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    417
     4       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    417
     5       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    417
     6      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    417
     7       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    417
     8      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    417
     9       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    417
    10       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    417
    11      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    417
    12       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    416
    13      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    416
    14       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    416
    15       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    416
    16      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    417
    17       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    416
    18      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    416
    19       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    416
    20      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    416
    21      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    416
Running = 4
Waiting = 18
