Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    448
     1       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    448
     2       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    448
     3      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    448
     4      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    448
     5      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    448
     6      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    448
     7       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    448
     8       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    448
     9      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    448
    10      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    448
    11      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    448
    12       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    447
    13      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R    447
    14       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    447
    15       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    448
    16       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    448
    17       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    447
    18      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    447
    19      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    447
    20      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    447
    21      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    447
Running = 3
Waiting = 19
