Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    405
     1       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    405
     2      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    405
     3       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    405
     4      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    405
     5      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    405
     6       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    405
     7       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    405
     8      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    405
     9       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    405
    10       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    405
    11       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    404
    12      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    405
    13      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    404
    14      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    404
    15      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    404
    16      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    405
    17       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    405
    18       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    405
    19       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    405
    20      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    404
    21      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    404
Running = 4
Waiting = 18
