Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W     48
     1       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W     48
     2       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W     48
     3       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W     48
     4       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W     48
     5       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W     48
     6       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W     48
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W     48
     8      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W     48
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R     47
    10      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W     47
    11      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     47
    12      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     47
    13       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W     47
    14      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W     47
    15      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W     47
    16      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W     47
    17      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W     47
    18      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W     47
    19      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W     47
    20      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W     47
    21      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W     47
Running = 1
Waiting = 21
