Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W     84
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W     84
     2      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W     84
     3       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W     84
     4       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W     84
     5      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     84
     6       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W     84
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W     84
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W     84
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W     84
    10      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W     84
    11       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W     84
    12      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W     84
    13      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W     84
    14       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W     84
    15      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W     84
    16      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W     84
    17      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W     84
    18      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W     84
    19      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W     84
    20      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W     84
    21      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R     83
Running = 1
Waiting = 21
