Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W     97
     1       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W     97
     2       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W     97
     3      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W     97
     4       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W     97
     5      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     97
     6       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W     97
     7      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W     97
     8       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W     97
     9       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R     96
    10       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R     96
    11       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W     97
    12      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W     97
    13      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W     96
    14      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W     96
    15      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W     96
    16       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W     96
    17      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W     96
    18      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W     96
    19      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W     96
    20      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W     96
    21      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W     96
Running = 2
Waiting = 20
