Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    313
     1       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    313
     2       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    313
     3      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    314
     4      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    314
     5      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    314
     6      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    313
     7       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    313
     8      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    313
     9       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    313
    10       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    313
    11       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    313
    12       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    313
    13      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    313
    14      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    313
    15       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    313
    16      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    313
    17      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    313
    18       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    313
    19      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    313
    20      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    312
    21      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    313
Running = 4
Waiting = 18
