Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R   1079
     1      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R   1079
     2       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W   1080
     3      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1080
     4      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W   1080
     5      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W   1080
     6       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W   1079
     7       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W   1079
     8      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1079
     9      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W   1079
    10      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W   1079
    11       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W   1079
    12       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1079
    13       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W   1079
    14      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W   1079
    15       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W   1079
    16       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W   1079
    17      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W   1079
    18       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W   1079
    19      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W   1079
    20       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W   1079
    21      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     R   1078
Running = 3
Waiting = 19
