Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    608
     1      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    608
     2       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    608
     3       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    608
     4       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    608
     5      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    608
     6      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    608
     7       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    608
     8      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    607
     9      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     R    607
    10       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    607
    11       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    608
    12      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    608
    13      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    607
    14      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    607
    15      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    607
    16      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    607
    17       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    607
    18      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    607
    19       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    607
    20       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    607
    21      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    607
Running = 3
Waiting = 19
