Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    576
     1       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    576
     2       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    576
     3       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    576
     4       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    576
     5      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    576
     6      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    576
     7      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    576
     8       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    576
     9      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    576
    10       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    576
    11       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    576
    12      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    576
    13      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R    575
    14      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    575
    15      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     R    575
    16       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    575
    17      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    576
    18      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    576
    19       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    576
    20      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    576
    21      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    575
Running = 4
Waiting = 18
