Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    708
     1       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R    708
     2      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    708
     3       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    709
     4      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    709
     5      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    709
     6       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    709
     7      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    708
     8      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    708
     9      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    708
    10       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    708
    11       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    708
    12      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    708
    13      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    708
    14      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    708
    15       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    708
    16      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    708
    17       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    708
    18       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    708
    19      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    708
    20       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    708
    21       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    708
Running = 3
Waiting = 19
