Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    998
     1       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    999
     2       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    999
     3       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    998
     4       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    998
     5       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    998
     6      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    998
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    998
     8      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    998
     9      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    998
    10       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    998
    11      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    998
    12      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    998
    13      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    998
    14      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    998
    15      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    998
    16      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    998
    17       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    998
    18      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    998
    19      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    997
    20      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    997
    21       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     R    997
Running = 4
Waiting = 18
