Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    694
     1       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    694
     2      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    694
     3       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    694
     4      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    694
     5       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    694
     6       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    694
     7      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    694
     8      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    694
     9       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    694
    10       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    694
    11       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    694
    12      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    694
    13      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     R    693
    14       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    694
    15      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    694
    16       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    694
    17      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    694
    18      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    693
    19      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    693
    20       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    693
    21      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    693
Running = 1
Waiting = 21
