Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W   1073
     1       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W   1073
     2      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W   1073
     3      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R   1072
     4      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R   1072
     5      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R   1072
     6      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R   1072
     7      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1073
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W   1072
     9      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W   1072
    10       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W   1072
    11       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W   1072
    12       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W   1072
    13       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W   1072
    14      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W   1072
    15      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1072
    16      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W   1072
    17       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1072
    18       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W   1072
    19      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W   1072
    20      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W   1072
    21       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W   1072
Running = 4
Waiting = 18
