Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    584
     1      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    584
     2       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    584
     3       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    584
     4       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    584
     5       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    584
     6       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    584
     7      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    584
     8       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    584
     9      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    584
    10      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    584
    11      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    584
    12       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    584
    13       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    584
    14      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     R    583
    15       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R    583
    16      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    584
    17      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    584
    18      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    584
    19      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    584
    20       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    583
    21      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    583
Running = 2
Waiting = 20
