Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    583
     1      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    583
     2      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    583
     3       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    583
     4      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    583
     5      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    583
     6      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    583
     7      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    583
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    583
     9       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    583
    10      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    583
    11       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    582
    12       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    582
    13       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    582
    14      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    582
    15       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    583
    16       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    583
    17      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    582
    18       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    582
    19       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    582
    20      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    582
    21      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    582
Running = 4
Waiting = 18
