Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    585
     1      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    585
     2      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    585
     3      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    585
     4       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    585
     5      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    585
     6       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    585
     7      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    585
     8       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    585
     9       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    585
    10       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    585
    11       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    585
    12      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    584
    13       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    584
    14      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     R    584
    15       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    584
    16      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    584
    17      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    584
    18      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    584
    19      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    584
    20       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    584
    21       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    584
Running = 4
Waiting = 18
