Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    566
     1       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    566
     2      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    565
     3      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    566
     4       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    566
     5      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    566
     6      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    565
     7      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    565
     8       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    565
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    565
    10      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    565
    11      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    565
    12       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    565
    13       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    565
    14      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    565
    15       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    565
    16       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    565
    17      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    565
    18      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    565
    19      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    565
    20       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    565
    21       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    565
Running = 1
Waiting = 21
