Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    712
     1      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    712
     2      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    712
     3      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     R    712
     4      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    713
     5       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    712
     6      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    712
     7       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    712
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    712
     9       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    712
    10       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    712
    11      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    712
    12      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    712
    13      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    712
    14      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    712
    15       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    712
    16      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    712
    17       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    712
    18       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    712
    19      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    712
    20       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    712
    21      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    712
Running = 4
Waiting = 18
