Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    589
     1       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    589
     2      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    589
     3      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    589
     4       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    589
     5       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    589
     6       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    589
     7       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    589
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    589
     9      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    589
    10      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    589
    11      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    589
    12      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    589
    13      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     R    588
    14      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    588
    15      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    588
    16       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    588
    17       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    589
    18      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    589
    19       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    589
    20      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    588
    21       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    588
Running = 4
Waiting = 18
