Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    583
     1       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    583
     2      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    583
     3      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    583
     4      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    584
     5      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    584
     6       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    583
     7      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    583
     8      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    583
     9      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    583
    10       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    583
    11       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    583
    12      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    583
    13      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    583
    14       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    583
    15       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    583
    16      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    583
    17      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    583
    18      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    583
    19       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    583
    20       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    583
    21       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    583
Running = 4
Waiting = 18
