Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1083
     1      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W   1083
     2      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W   1083
     3       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W   1083
     4       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W   1083
     5       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W   1083
     6      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W   1083
     7      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W   1083
     8      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W   1083
     9       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W   1083
    10       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R   1082
    11       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R   1082
    12      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     R   1082
    13      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R   1082
    14      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1083
    15      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W   1083
    16       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W   1082
    17      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W   1082
    18       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W   1082
    19      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1082
    20      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1082
    21       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W   1082
Running = 4
Waiting = 18
