Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W   1072
     1      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W   1072
     2      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W   1071
     3       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W   1071
     4      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1071
     5      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W   1071
     6      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1071
     7      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1071
     8       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W   1071
     9      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W   1071
    10      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W   1071
    11      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W   1071
    12       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W   1071
    13       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W   1071
    14      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W   1071
    15       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W   1071
    16       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W   1071
    17       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W   1071
    18       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R   1070
    19      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     R   1070
    20       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R   1070
    21       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1071
Running = 3
Waiting = 19
