Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1018
     1      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1018
     2       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W   1017
     3       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W   1017
     4       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W   1017
     5       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W   1017
     6      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W   1017
     7      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W   1017
     8       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W   1017
     9      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W   1017
    10       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W   1017
    11       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W   1017
    12      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W   1017
    13      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W   1017
    14       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W   1017
    15       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W   1017
    16       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W   1017
    17      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W   1017
    18      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W   1017
    19      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R   1016
    20      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R   1016
    21      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R   1016
Running = 3
Waiting = 19
