Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    578
     1       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    577
     2      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    577
     3       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    577
     4      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    577
     5      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    577
     6      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    577
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    577
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    577
     9       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    577
    10      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    577
    11      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    577
    12       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    577
    13       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    577
    14      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    577
    15      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    577
    16      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    576
    17       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    576
    18       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    576
    19      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    577
    20      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    577
    21       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    577
Running = 3
Waiting = 19
