Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R    587
     1       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    588
     2      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    588
     3       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    587
     4      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    587
     5      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    587
     6       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    587
     7      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    587
     8      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    587
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    587
    10      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    587
    11       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    587
    12       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    587
    13       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    587
    14       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    587
    15       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    587
    16      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    587
    17       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    587
    18      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    587
    19      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     R    586
    20      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    586
    21      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     R    586
Running = 4
Waiting = 18
