Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    580
     1       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R    579
     2       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R    579
     3      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R    579
     4      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    579
     5      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    580
     6      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    580
     7      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    580
     8       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    579
     9      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    579
    10      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    579
    11       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    579
    12       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    579
    13       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    579
    14       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    579
    15       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    579
    16      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    579
    17       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    579
    18      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    579
    19      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    579
    20      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    579
    21      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    579
Running = 4
Waiting = 18
