Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    961
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    961
     2      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     R    961
     3       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    962
     4       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    962
     5      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    962
     6      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    962
     7       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    961
     8      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    961
     9       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    961
    10      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    961
    11      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    961
    12       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    961
    13       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    961
    14       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    961
    15      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    961
    16      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    961
    17      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    961
    18       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    961
    19      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    961
    20      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    961
    21       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R    960
Running = 4
Waiting = 18
