Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    579
     1       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    579
     2       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    579
     3      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    579
     4       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    579
     5       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    579
     6      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    579
     7       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    579
     8      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    579
     9       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    579
    10       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    579
    11      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    579
    12       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    578
    13      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    578
    14       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R    578
    15      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    578
    16      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    579
    17      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    579
    18      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    578
    19      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    578
    20      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    578
    21      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    578
Running = 4
Waiting = 18
