Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    561
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    561
     2       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    561
     3       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    561
     4       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    561
     5       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    561
     6      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    561
     7      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    561
     8       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    561
     9      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    561
    10      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    561
    11      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    561
    12      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    561
    13      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    561
    14      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    561
    15       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    560
    16      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     R    560
    17       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R    560
    18       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    560
    19       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    561
    20      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    561
    21      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    560
Running = 4
Waiting = 18
