Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    998
     1       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    998
     2       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    998
     3       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    998
     4      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    998
     5      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    998
     6      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    998
     7      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    998
     8      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    998
     9      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    998
    10      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     R    997
    11       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    997
    12       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    997
    13       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    998
    14       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    998
    15      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    998
    16      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    997
    17      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    997
    18       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    997
    19      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    997
    20       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    997
    21      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    997
Running = 3
Waiting = 19
