Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    533
     1       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     R    532
     2       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    532
     3      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    532
     4      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    532
     5       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    533
     6      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    533
     7       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    533
     8      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    533
     9      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    532
    10      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    532
    11      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    532
    12      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    532
    13      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    532
    14       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    532
    15      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    532
    16       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    532
    17       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    532
    18       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    532
    19      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    532
    20      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    532
    21       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    532
Running = 4
Waiting = 18
