Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    549
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    549
     2      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    549
     3      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    549
     4      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    549
     5       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    549
     6       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    549
     7      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    549
     8      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    549
     9      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    549
    10      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     R    548
    11       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    548
    12      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     R    548
    13       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    549
    14       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    549
    15       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    549
    16       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    549
    17      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    548
    18       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    548
    19      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    548
    20      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    548
    21      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    548
Running = 3
Waiting = 19
