Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    457
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    456
     2       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    456
     3      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    456
     4       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    456
     5      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    456
     6      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    456
     7       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    456
     8       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    456
     9       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    456
    10       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    456
    11      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    456
    12       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    456
    13       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    456
    14      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    456
    15      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    455
    16      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    455
    17      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    456
    18      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    456
    19       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    456
    20      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    456
    21      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    456
Running = 2
Waiting = 20
