Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    364
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    364
     2      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    363
     3      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    363
     4       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    363
     5      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    363
     6      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    363
     7       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    363
     8       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    363
     9       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    363
    10       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    363
    11       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    363
    12       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    363
    13      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    363
    14      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    363
    15      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    363
    16      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    363
    17       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    363
    18      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    363
    19       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    363
    20      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    363
    21      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    363
Running = 0
Waiting = 22
