Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    500
     1       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R    500
     2       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    500
     3      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    500
     4       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    501
     5      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    501
     6       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    501
     7       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    501
     8       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    500
     9       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    500
    10      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    500
    11      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    500
    12      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    500
    13      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    500
    14      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    500
    15       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    500
    16      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    500
    17      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    500
    18      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    500
    19      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    500
    20      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    500
    21       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    500
Running = 4
Waiting = 18
