Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    564
     1      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    564
     2       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    564
     3       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    564
     4       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    564
     5       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    564
     6       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    563
     7      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R    563
     8      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    563
     9      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    563
    10       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    564
    11      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    564
    12      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    564
    13       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    563
    14      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    563
    15      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    563
    16       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    563
    17      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    563
    18      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    563
    19      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    563
    20      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    563
    21       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    563
Running = 4
Waiting = 18
