Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    553
     1      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    553
     2       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    553
     3       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    552
     4      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     R    552
     5      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    552
     6      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    552
     7       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    553
     8      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    552
     9      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    552
    10       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    552
    11      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    552
    12       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    552
    13      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    552
    14      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    552
    15       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    552
    16      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    552
    17       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    552
    18       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    552
    19       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    552
    20      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    552
    21      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    552
Running = 4
Waiting = 18
