Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     R    524
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    524
     2      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    525
     3       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    525
     4      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    525
     5      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    524
     6       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    524
     7       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    524
     8      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    524
     9      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    524
    10      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    524
    11      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    524
    12       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    524
    13      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    524
    14      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    524
    15       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    524
    16      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    524
    17      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    524
    18       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    524
    19      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    524
    20       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    524
    21       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     R    523
Running = 3
Waiting = 19
