Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    529
     1      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    529
     2       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    529
     3      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    529
     4       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    528
     5      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    528
     6      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     R    528
     7       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    529
     8       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    529
     9       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    529
    10      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    528
    11       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    528
    12      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    528
    13      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    528
    14      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    528
    15      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    528
    16      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    528
    17      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    528
    18       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    528
    19       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    528
    20      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    528
    21       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    528
Running = 3
Waiting = 19
