Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    521
     1       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    521
     2       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    521
     3       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    521
     4      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    521
     5       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    521
     6      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    521
     7       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    521
     8      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    520
     9       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    520
    10       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    520
    11      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    521
    12      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    521
    13      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    521
    14      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    520
    15       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    520
    16       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    520
    17      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    520
    18      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    520
    19       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    520
    20      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    520
    21      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    520
Running = 3
Waiting = 19
