Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    568
     1       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     R    567
     2      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     R    567
     3       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    568
     4       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    568
     5      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    568
     6      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    568
     7      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    567
     8       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    567
     9       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    567
    10      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    567
    11      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    567
    12      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    567
    13      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    567
    14      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    567
    15      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    567
    16      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    567
    17       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    567
    18       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    567
    19       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    567
    20       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    567
    21      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    567
Running = 2
Waiting = 20
