Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    578
     1      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    578
     2       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    578
     3      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    578
     4       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    578
     5      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    578
     6       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    578
     7       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    578
     8      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    578
     9      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    578
    10       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     R    577
    11       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     R    577
    12      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     R    577
    13      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     R    577
    14       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    578
    15      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    578
    16      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    578
    17       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    577
    18       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    577
    19      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    577
    20      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    577
    21      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    577
Running = 4
Waiting = 18
