#"Step","Temperature (K)"
20000,296.3804771272598
40000,301.0100926947165
60000,301.90028397691964
80000,302.8892779396262
100000,298.3706385683879
120000,297.4010120326716
140000,299.88954415924746
160000,298.75484039078293
180000,299.87357098454424
200000,300.0454667103813
220000,295.69044132670933
240000,311.2727923363949
260000,300.35241366908383
280000,302.30959198059685
300000,298.28407696191425
320000,302.35989607351223
340000,301.06737754140414
360000,300.61883797700995
380000,300.39932256764297
400000,299.9217645157669
420000,301.6888229743882
440000,300.15251075996554
460000,300.95413059362784
480000,301.89933351297213
500000,303.4425446837055
520000,297.2166583781215
540000,299.82507493728633
560000,289.6140520054859
580000,301.4243417149459
600000,295.5896337907037
620000,296.4166218195924
640000,299.5696296285467
660000,299.90477962229664
680000,294.8005606291677
700000,293.85595727583336
720000,296.435603774554
740000,298.4149180583252
760000,299.1289477308355
780000,300.9158901962453
800000,298.1982450081413
820000,299.17193518074697
840000,297.2349825787425
860000,296.9115338778102
880000,299.6537317177714
900000,299.1325477956178
920000,300.0809487875405
940000,298.0142649656978
960000,300.11984039968553
980000,299.05317394750426
1000000,298.7453412947673
1020000,300.53527368899273
1040000,305.4339216686445
1060000,301.76458302374755
1080000,301.6786144837697
1100000,295.32087167840905
1120000,292.0885837412574
1140000,299.3565531968658
1160000,302.83493411599164
1180000,300.3632432299101
1200000,299.2447312343784
1220000,298.74960517105956
1240000,295.0058656373235
1260000,302.3479672128306
1280000,298.48365906903996
1300000,296.61096382329697
1320000,298.4771617048634
1340000,299.207300791587
1360000,294.98220460804254
1380000,301.81514871112705
1400000,303.03725628072897
1420000,302.6987254656257
1440000,302.11970204931475
1460000,304.65020278969314
1480000,297.65492269842974
1500000,298.261384384673
1520000,295.8715743291023
1540000,298.5360049231479
1560000,298.36924326850107
1580000,299.0798031737157
1600000,297.11224094531156
1620000,299.6277832821964
1640000,296.27760088965687
1660000,299.4066663049491
1680000,296.42674005224137
1700000,299.0201015253137
1720000,300.4794615662777
1740000,294.42715580792526
1760000,292.87984102287663
1780000,297.1575681964609
1800000,300.3004568040692
1820000,294.27762134144297
1840000,302.65652114964905
1860000,301.1814575154936
1880000,297.76409279512495
1900000,301.5789165453445
1920000,299.2638682699444
1940000,296.19814314015827
1960000,299.36062713311367
1980000,295.65425155658244
2000000,294.3127134815502
2020000,301.57918384765725
2040000,299.6781605724725
2060000,300.9089733259436
2080000,302.9153875401282
2100000,294.2379782089831
2120000,299.9219055418494
2140000,299.12060833592824
2160000,298.7291526267661
2180000,297.91643362574473
2200000,299.41107038250664
2220000,298.7110278998679
2240000,302.5941345853625
2260000,300.9655530583282
2280000,298.8551823888993
2300000,302.94143316343155
2320000,295.19636985890037
2340000,298.65971433953615
2360000,300.6543036248748
2380000,295.4772455350331
2400000,303.22211719046896
2420000,302.3958077864821
2440000,304.40592940421976
2460000,301.1151813703705
2480000,296.0239569149297
2500000,304.4847604601238
2520000,296.08564035900633
2540000,294.1840923508255
2560000,301.28755570777327
2580000,300.399856907183
2600000,298.50399264928086
2620000,298.8436340618794
2640000,301.600111574971
2660000,298.0121021961908
2680000,295.9317849342268
2700000,300.42898596835005
2720000,294.7805309453688
2740000,298.1050272597174
2760000,301.185921814927
2780000,297.173356184332
2800000,297.6072638013758
2820000,302.3979372059139
2840000,301.7049380928433
2860000,298.4617237975648
2880000,301.3251176805895
2900000,299.5358622034524
2920000,298.6707115610222
2940000,298.49277315871893
2960000,300.6600240855568
2980000,300.44875564450786
3000000,298.21864611628484
3020000,294.5324359299291
3040000,292.0846388754677
3060000,299.6829930267023
3080000,294.4118693459625
3100000,296.89683790605267
3120000,300.6120179337188
3140000,302.42659530578584
3160000,301.13115742175444
3180000,296.11870126103514
3200000,307.2914828387793
3220000,298.8342273749006
3240000,296.8020922907426
3260000,299.3661703935372
3280000,298.6027872935169
3300000,294.41173519498824
3320000,298.0642255498848
3340000,295.5254822704427
3360000,300.31541649531124
3380000,307.83500362870535
3400000,300.16366325965794
3420000,298.1900483186581
3440000,295.3371381536468
#"Step","Temperature (K)"
20000,299.77043729339425
40000,302.19936534283596
60000,301.26072621294776
80000,297.46586682377307
100000,301.26409509056356
120000,295.60292452525357
140000,300.9865027026967
160000,296.7553232515178
180000,298.316784320575
200000,300.7868752179913
220000,295.1353314400018
240000,296.17457658670213
260000,296.4067423302953
280000,298.86519997461363
300000,297.51225423859756
320000,299.8806490207216
340000,299.59161859379856
360000,301.4541635315695
380000,298.3354200269751
400000,294.9655867648502
420000,298.6199465952104
440000,295.3186242684526
460000,303.3789289132703
480000,301.6930069775219
500000,294.7790997091846
520000,297.8974515502014
540000,298.7634500206156
560000,295.90263408776235
580000,305.82906452989073
600000,301.0527175095924
620000,294.9111706848631
640000,300.3180746444518
660000,292.22709096018235
680000,294.5706263116762
700000,300.5738295399693
720000,296.00404063057994
740000,300.1927239807603
760000,301.9911552323591
780000,297.36590304840024
800000,299.19327693317774
820000,298.36074984305554
840000,299.2747332225662
860000,293.40127624117747
880000,299.93812482076584
900000,301.0201303611796
920000,298.75097230033873
940000,298.6786397912588
960000,301.7515854615342
980000,302.3591680800689
1000000,297.64349316355657
1020000,296.9961049241539
1040000,301.4023870923519
1060000,296.2840566097937
1080000,299.4960397278256
1100000,302.00435924611907
1120000,295.54435211198467
1140000,299.40512078051984
1160000,296.45073939974077
1180000,299.42804739448235
1200000,297.60664679408654
1220000,298.05112406730655
1240000,303.99862252323703
1260000,298.06190112915476
1280000,301.18647528621943
1300000,292.1807490232662
1320000,294.79478627881406
1340000,298.3952143296532
1360000,301.40875091220926
1380000,295.69974568400875
1400000,297.81733677079353
1420000,294.7733715968989
1440000,297.91400668947387
1460000,297.28611276671273
1480000,301.9366187654603
1500000,295.0807760539786
1520000,296.80415145588734
1540000,296.2053390698404
1560000,296.15481198571825
1580000,296.1551681666181
1600000,303.46077759085426
1620000,297.5406313167579
1640000,294.55178247745386
1660000,296.03190790984917
1680000,298.4981200347446
1700000,298.76621220960595
1720000,300.26658860481604
1740000,298.67458189046613
1760000,301.18784352130285
1780000,300.4953263459961
1800000,298.466242576854
1820000,299.7205681400922
1840000,293.7826880418002
1860000,303.0449991746191
1880000,303.31354588021173
1900000,299.04191332993975
1920000,303.36908756629146
1940000,294.52004134212183
1960000,291.9721978019547
1980000,299.08592677382944
2000000,293.23322875277495
2020000,302.1948755262762
2040000,305.76569079360763
2060000,299.5989297561528
2080000,292.03295832091436
2100000,298.7839705682731
2120000,297.016933571888
2140000,295.1508266652452
2160000,295.9405938715798
2180000,296.3911643731611
2200000,297.1816036557439
2220000,296.60051512707753
2240000,298.7396885977462
2260000,300.68910955314635
2280000,295.4760932025463
2300000,299.16571617132007
2320000,298.1037702699115
2340000,299.0074172363278
2360000,295.9145737752142
2380000,301.3577370725967
2400000,302.47659379661627
2420000,297.85270047141967
2440000,298.84700358568404
2460000,301.06960898930237
2480000,295.5605971975424
2500000,301.98483094796177
2520000,304.8393438932077
2540000,301.164303893207
2560000,295.4343712212092
2580000,300.2961529580206
2600000,298.0499803296141
